Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Vegetable and Black Bean Burrito ,蔬菜和黑豆胡椒（素）,蔬菜黑豆卷饼
Corn with Red Peppers ,红辣椒玉米（素）,红辣椒玉米
Smoked Chicken,zSmoked鸡,烟熏鸡肉
Oven Browned Potatoes ,烤箱褐色土豆（素）,烤土豆
Fresh Corn on the Cob ,新鲜的玉米在Cob（素）,玉米粒
Homemade Baked Beans (lf),自制烤豆（lf）,自制甜豆
Tres Leches Cake ,Tres Leches蛋糕（素）,墨西哥三奶蛋糕
Croisant with Ham & Cheese,与火腿交战,火腿芝士牛角包
Walnut Cinnamon Coffee Cake ,核桃肉桂咖啡蛋糕（w /坚果）,核桃肉桂咖啡蛋糕（含坚果）
Three Bean Salad ,三豆沙拉（素）,三豆沙拉
Confetti Pasta Salad,纸屑意大利面沙拉,开胃通心粉沙拉
Thai Curry Tofu and Vegetables ,泰国咖喱豆腐和蔬菜（素）,泰国咖喱豆腐蔬菜
Marinara Primavera Sauce ,Marinara Primavera酱（素）,意大利红酱炖菜酱
Chili Bar,辣椒酒吧,辣椒台
Egg Noodles ,蛋面（素）,鸡蛋面
Corn Chip,玉米片,玉米片
Rosemary Bread ,迷迭香面包（素）,迷迭香面包
Chocolate Mint Cake ,巧克力薄荷蛋糕（素）,巧克力薄荷蛋糕
Sausage Links,香肠链接,香肠串
Fair Trade Organic Utopian Coffee,公平贸易有机乌托邦咖啡,Utopian有机咖啡
Half & Half,半,half&half 牛奶
Mandarin Orange Spinach Salad ,普通话橙汁菠菜沙拉（素）,芦柑菠菜沙拉
Asian Chicken and Orzo Salad ,亚洲鸡肉和Orzo沙拉（有坚果）,鸡肉米粒沙拉
Philly Chicken Sandwich,费城鸡三明治,费城鸡肉三明治
Fresh Mashed Potatoes ,新鲜土豆泥（素）,新鲜土豆泥
Gravy,肉汁,肉汁
Brussel Sprouts ,Brussel Sprouts（素）,抱子甘蓝
Mexican Line,墨西哥线,墨西哥米线
Flour Tortilla,面粉玉米饼,面粉玉米饼
zSpanish Rice ,西班牙米,西班牙米饭
Swiss Chard & Lentil Soup ,瑞士甜菜,瑞士甜菜
Graham Roll ,格拉姆·沃尔（素）,全麦卷饼
Hawaiian Pizza,夏威夷披萨,夏威夷披萨
Jambalaya,什锦饭,什锦饭
Best Ever Seafood Gumbo,最佳海鲜秋葵,海鲜秋葵
Herb Focaccia Bread ,草药Focaccia面包（素）,弗卡夏面包
Italian Chunk Salad ,意大利块沙拉（素）,意大利沙拉
Egg Salad,蛋沙拉,鸡蛋沙拉
Smoked Mozzarella ,烟熏无盐干酪（素）,烟熏无盐干酪
Vietnamese Pork Banh Mi,越南猪肉班,越南三明治
Dirty Rice ,脏饭（素）,鸡杂饭
Potato Chip,薯片,薯条
Sausage Olive Pizza,香肠橄榄披萨,香肠橄榄披萨
Vegetable Pizza on Wheat ,小麦上的蔬菜薄饼（素）,小麦蔬菜薄饼
Alfalfa Sprout,苜蓿芽,苜蓿芽
Soy Edamame Bean,大豆豆豆,日本毛豆
Pork Stir Fry with Veggies,猪肉炒蔬菜,猪肉炒蔬菜
Pastitsio,Pastitsio,烤通心粉
Tortilla Soup,玉米饼汤,薄饼汤
Stir Fry Pork with Vegetables,搅拌炒蔬菜,猪肉炒蔬菜
Greek Pita Sandwich ,希腊皮塔三明治（素）,希腊皮塔三明治
BBQ Chicken Quesadilla,烧烤鸡Quesadilla,烤鸡玉米饼
Grilled Vegetable Tostada ,烤蔬菜Tostada（素）,蔬菜玉米粉圆饼
Bacon Tomato Basil Pizza,培根番茄罗勒披萨,培根番茄罗勒披萨
Three Cheese Pizza on Wheat Crust ,小麦壳上的三个芝士披萨（素）,小麦芝士披萨
Creamy Bolognese Sauce,奶油博洛涅塞酱,番茄肉酱
Grilled Ham & Swiss on Wheat,烤火腿,火腿芝士全麦面包
Kale Salad w/Cranberries  ,甘蓝沙拉含蔓越莓（w /坚果）（素）,蔓越莓甘蓝沙拉
White Cupcake with Buttercream Icing ,白色蛋糕与奶油酸冰（素）,白奶酪蛋糕
Tomato Basil Soup ,番茄罗勒汤（素）,番茄罗勒汤
Broccoli Main Dish ,西兰花主菜（素）,炒西兰花
Steamed Carrot/Corn/Peas ,蒸胡萝卜/玉米/豌豆（素）,蒸胡萝卜/玉米/豌豆
Vegetable Fried Rice ,蔬菜炒饭（素）,蔬菜炒饭
Cream Cheese Strudel ,奶油奶酪（素）,奶油干酪点心
Toll House Bar ,收费酒吧（素）,碎巧克力台
Chocolate Cherry Bread ,巧克力樱桃面包（素）,巧克力樱桃面包
Caponata Salad ,Caponata沙拉（素）,什锦蔬菜沙拉
Chicken Curry Pasta Salad ,鸡肉咖喱面食沙拉（有坚果）,鸡肉咖喱意面沙拉
Spicy Chicken Philly Cheese Steak Sand,辣鸡费城干酪牛排砂,辣鸡费城牛排包
Homemade Fish & Chips,自制鱼,炸鱼薯条
Mediterranean Style Marinara ,地中海风格Marinara（素）,地中海式沙司
Cornmeal Roll ,玉米卷（素）,玉米卷
Lemon Bars ,柠檬酒吧（素）,柠檬
Chocolate Peanut Butter Cake ,巧克力花生酱蛋糕（w /坚果）,巧克力花生酱蛋糕
Sandwiches Grilled To Order,烤三明治订购,定制三明治
Buttermilk Fried Chicken,酪炸鸡,乳酪炸鸡
Spiral Cut Ham,螺旋切割火腿,螺旋火腿
Manicotti with Marinara Sauce ,Manicotti与Marinara酱（素）,肉汁意面
Vanilla Cake with Strawberry Icing ,香草蛋糕与草莓冰（素）,草莓糖霜香草蛋糕
Spicy Tuna Roll,辣金枪鱼卷,辣金枪鱼寿司
Chicken Congee,鸡肉粥,鸡肉粥
Bacon/Mushroom & Cheese Omelet,培根/蘑菇,培根蘑菇鸡蛋卷
Apple Oat Coffee Cake ,苹果燕麦咖啡蛋糕（素）,苹果燕麦咖啡蛋糕
Cucumber Salad (Gurkensalat) ,黄瓜沙拉（Gurkensalat）（素）,黄瓜沙拉
Vindaloo Chicken,Vindaloo鸡,咖喱鸡
Indian Lentils w/Swt Potato  ,印度扁豆w / Swt马铃薯（w /坚果（素）,印度扁豆甜马铃薯
Pasta Rigatoni (lf) ,意大利面Rigatoni（lf）（素）,肋状通心粉
Reuben Sandwich,Reuben三明治,咸牛肉干酪三明治
Cream of Spinach Soup ,菠菜汤奶油（素）,奶油菠菜汤
Pasta of the Day ,意大利面（素）,意大利面
Strawberry Spinach Salad  ,草莓菠菜沙拉（w /坚果）（素）,草莓蔬菜坚果沙拉
Teriyaki Chicken w/Pineapple,Teriyaki鸡肉/菠萝,菠萝照烧鸡肉饭
Vegetable Lasagna w/White Sauce ,蔬菜烤宽面条（白色）（素）,蔬菜烤宽面条
Penne Pasta w/Pesto ,通心粉/ Pesto（素）,香蒜沙司通心粉
Breakfast Line,早餐线,早餐米线
Maple Syrup,枫糖浆,枫糖浆
Turkey Club Panini,火鸡巴尼尼俱乐部,火鸡帕帕尼
Potato Ham Chowder,土豆火腿杂烩,土豆火腿杂烩
Cheese Roll ,奶酪卷（素）,奶酪卷
Confetti Cake w/ Buttercream,五彩纸屑蛋糕w / Buttercream,奶油乳酪蛋糕
Strawberry Salad w/Poppyseed Dressing ,草莓沙拉w / Poppyseed Dressing,草莓沙拉
Cage Free Scrambled Eggs w/ Chicken,炒鸡蛋/鸡,炒鸡蛋
Morning Glory Muffins  ,牵牛花松饼（w /坚果）（素）,空心菜松饼
Chicken Caesar Salad,鸡肉凯撒沙拉,鸡肉凯撒沙拉
Lamb Greek Gyro,羔羊希腊陀螺,希腊羊肉三明治
Cucumber Tzatziki ,黄瓜Tzatziki（素）,干奶黄瓜
Eggplant Parmigiano ,茄子Parmigiano（素）,帕尔马干酪茄子
Pasta Pronto ,面食Pronto（素）,意大利面
Three Cheese Pizza on Wheat ,小麦上的三个芝士披萨（素）,全麦至尊披萨
Beef Noodle Soup,牛肉面汤,牛肉面汤
Quesadilla w/Roasted Chiles ,Quesadilla w /烤雪橇（素）,油炸玉米干酪饼
Baklava  ,巴克拉瓦（w /坚果）（素）,果仁蜜饼
Confetti Cake ,五彩纸屑蛋糕（五）,糖果蛋糕
Olive/Canola Oil Blend,橄榄/油菜籽油混合,菜籽油拌橄榄
Arugula Salad with Goat Cheese ,芝士奶酪芝麻菜沙拉（素）,芝士奶酪芝麻菜沙拉
Smoked Salmon Pasta,熏三文鱼面食,熏三文鱼意面
Polenta with Vegetables ,蔬菜用麦片（素）,蔬菜杂粮粥
Peas with Onions ,豌豆与洋葱（素）,豌豆炒洋葱
Fettucine Carolina ,Fettucine Carolina（素）,黄油酱汁面条
Very Chocolate Cake ,非常巧克力蛋糕（素）,巧克力蛋糕
Grilled Vegetable Wrap ,烤蔬菜卷（素）,蔬菜卷
Chicken Enchiladas In Green Sauce,绿色酱汁鸡肉酱,墨西哥辣椒乳酪鸡肉卷饼
Buffalo Chicken Pizza,布法罗鸡肉披萨,布法罗鸡肉披萨
Vegetable & Jalapeno Pizza ,蔬菜,墨西哥胡椒蔬菜披萨
Chicken w/Thai Peanut Sauce ,鸡肉/泰国花生酱（w /坚果）,泰国花生酱鸡
Wild Rice Garden Salad ,野菜大米沙拉（素）,野生稻米田园沙拉
Pasta Salad w Ginger/Green Onion ,面食沙拉w姜/洋葱（素）,洋葱/生姜意面沙拉
Chocolate Chocolate Chip Cookie ,巧克力巧克力饼干（素）,巧克力饼干
Lemon Cookie ,柠檬饼干（素）,柠檬饼干
Pasta Fazool Soup ,意大利面食汤（素）,意大利面食汤
Teriyaki Chicken w/Pineapple,Teriyaki鸡肉/菠萝,菠萝照烧鸡肉饭
Vegetable Lasagna w/White Sauce ,蔬菜烤宽面条（白色）（素）,蔬菜烤宽面条
Penne Pasta w/Pesto ,通心粉/ Pesto（素）,香蒜沙司通心粉
Breakfast Line,早餐线,早餐米线
Maple Syrup,枫糖浆,枫糖浆
Turkey Club Panini,火鸡巴尼尼俱乐部,火鸡帕帕尼
Potato Ham Chowder,土豆火腿杂烩,土豆火腿杂烩
Cheese Roll ,奶酪卷（素）,奶酪卷
Confetti Cake w/ Buttercream,五彩纸屑蛋糕w / Buttercream,奶油乳酪蛋糕
Strawberry Salad w/Poppyseed Dressing ,草莓沙拉w / Poppyseed Dressing,草莓沙拉
Cage Free Scrambled Eggs w/ Chicken,炒鸡蛋/鸡,炒鸡蛋
Morning Glory Muffins  ,牵牛花松饼（w /坚果）（素）,空心菜松饼
Chicken Caesar Salad,鸡肉凯撒沙拉,鸡肉凯撒沙拉
Lamb Greek Gyro,羔羊希腊陀螺,希腊羊肉三明治
Cucumber Tzatziki ,黄瓜Tzatziki（素）,干奶黄瓜
Eggplant Parmigiano ,茄子Parmigiano（素）,帕尔马干酪茄子
Pasta Pronto ,面食Pronto（素）,意大利面
Three Cheese Pizza on Wheat ,小麦上的三个芝士披萨（素）,全麦至尊披萨
Beef Noodle Soup,牛肉面汤,牛肉面汤
Quesadilla w/Roasted Chiles ,Quesadilla w /烤雪橇（素）,油炸玉米干酪饼
Baklava  ,巴克拉瓦（w /坚果）（素）,果仁蜜饼
Confetti Cake ,五彩纸屑蛋糕（五）,糖果蛋糕
Olive/Canola Oil Blend,橄榄/油菜籽油混合,菜籽油拌橄榄
Arugula Salad with Goat Cheese ,芝士奶酪芝麻菜沙拉（素）,芝士奶酪芝麻菜沙拉
Smoked Salmon Pasta,熏三文鱼面食,熏三文鱼意面
Polenta with Vegetables ,蔬菜用麦片（素）,蔬菜杂粮粥
Peas with Onions ,豌豆与洋葱（素）,豌豆炒洋葱
Fettucine Carolina ,Fettucine Carolina（素）,黄油酱汁面条
Very Chocolate Cake ,非常巧克力蛋糕（素）,巧克力蛋糕
Grilled Vegetable Wrap ,烤蔬菜卷（素）,蔬菜卷
Chicken Enchiladas In Green Sauce,绿色酱汁鸡肉酱,墨西哥辣椒乳酪鸡肉卷饼
Buffalo Chicken Pizza,布法罗鸡肉披萨,布法罗鸡肉披萨
Vegetable & Jalapeno Pizza ,蔬菜,墨西哥胡椒蔬菜披萨
Chicken w/Thai Peanut Sauce ,鸡肉/泰国花生酱（w /坚果）,泰国花生酱鸡
Wild Rice Garden Salad ,野菜大米沙拉（素）,野生稻米田园沙拉
Pasta Salad w Ginger/Green Onion ,面食沙拉w姜/洋葱（素）,洋葱/生姜意面沙拉
Chocolate Chocolate Chip Cookie ,巧克力巧克力饼干（素）,巧克力饼干
Lemon Cookie ,柠檬饼干（素）,柠檬饼干
Pasta Fazool Soup ,意大利面食汤（素）,意大利面食汤
Diced Potatoes ,zdiced土豆（素）,土豆
Quinoa Salad w/Grapefruit & Mint ,藜芦沙拉配葡萄柚,葡萄柚藜芦沙拉
Chicken Primavera,鸡Primavera,普里马韦拉鸡肉
Tortilla Fajita 8&quot;,玉米饼Fajita 8,玉米饼
Shredded Cheddar Cheese ,切丝切干酪（素）,切丝干奶酪
Organic Green Bell Pepper,有机绿色甜椒,有机绿色甜椒
Tomato & Avocado Salsa ,番茄,番茄鳄梨沙拉
Albondigas Soup,Albondigas汤,墨西哥肉丸汤
Three Grain Roll ,三粒卷（素）,三粒卷
Trail Mix Cookie  ,足迹混合饼干（w /坚果）（素）,混合曲奇
Tabouli Salad ,Tabouli沙拉（素）,塔波利皮塔
Turkey Tetrazzini,火鸡Tetrazzini,h烤火鸡肉意粉
Meatballs,肉丸,肉丸
Mushroom Gravy,蘑菇浓汁,蘑菇浓汤
Rice Pilaf with Vegetables ,蔬菜米饭（素）,炒蔬菜米饭
Fresh Broccoli ,新鲜西兰花（素）,新鲜西兰花
zSpanish Rice,西班牙米饭,西班牙米饭
Jalapeno,辣椒,墨西哥胡椒
Teriyaki Beef Bowl,Teriyaki牛肉碗,红烧牛肉碗饭
Tofu Teriyaki Bowl ,豆腐Teriyaki碗（素）,红烧豆腐碗饭
Udon Chicken Soup,乌冬鸡汤,乌冬鸡汤
Rotini with Garlic Butter ,大蒜黄油（素）,大蒜黄油螺旋面
Pumpkin Pie ,南瓜饼（素）,南瓜派
Chorizo and Eggs,香肠和鸡蛋,西班牙辣香肠配鸡蛋
Granola Coffee Cake  ,格兰诺拉咖啡蛋糕（w /坚果）（素）,格兰诺拉咖啡蛋糕
Spinach Salad with Cranberry ,蔓越莓菠菜沙拉（含坚果）,蔓越莓菠菜沙拉
Sliced Swiss Cheese ,切丝瑞士奶酪（素）,切丝瑞士奶酪
Spanish Rice with Cilantro ,西班牙米饭（西班牙语）,西班牙米饭配芫荽叶
Cream of Tomato Basil Soup ,番茄罗勒汤（素）,番茄奶油罗勒汤
Grilled Cheddar on Wheat ,小麦烤切丁（素）,烤小麦面包切丁
Lemon Poppyseed Bread ,柠檬罂粟面包（素）,柠檬罂粟面包
Devilyinhaos Food Cupcake w/Chocolate ,Devilyinhaos食品蛋糕w巧克力（素）,巧克力蛋糕
Beef Broccoli and Mushroom Stir Fry,牛肉西兰花和蘑菇搅拌炒,爆炒牛肉西兰花蘑菇饭
Rotisserie Chicken,烤鸡肉,烤鸡肉
Au Gratin Potatoes ,Au Gratin土豆（素）,h烤马铃薯
Fettuccine with Mustard Chicken Sauce,Fettuccine与芥末鸡酱,意大利面配芥末鸡肉酱
Penne w/Chard & Sun Dried Tomato ,通心粉/甜菜和太阳晒干的西红柿,甜菜西红柿通心粉
Chipotle Beef Wrap,辣椒牛肉卷,辣牛肉卷
Carnitas Burrito,Carnitas墨西哥玉米煎饼,肉丝墨西哥玉米卷饼
Vegetable Empanada ,植物Empanada（素）,蔬菜卷饼
Mushroom Pizza ,蘑菇披萨（素）,蘑菇披萨
Thai Cucumber Salad ,泰国黄瓜沙拉（素）,泰式黄瓜沙拉
Congo Bar  ,刚果酒吧（w /坚果）（素）,刚果条
Brown and Wild Rice Pilaf ,棕色和野生稻饭（素）,全麦粗米饭
Creole Beans and Rice ,克里奥尔豆和米饭（素）,克里奥尔豆配米
Roasted Vegetable Quesadilla ,烤蔬菜Quesadilla（素）,烤蔬菜油炸玉米粉饼
Chicken Pad Thai ,鸡肉泰国面（w /坚果）,泰式鸡面
Vegetable and Noodles Stir Fry ,蔬菜和面条搅拌炒（素）,蔬菜炒面
Lemon Yogurt Pound Cake ,柠檬酸奶蛋糕（素）,柠檬酸奶蛋糕
Turkey Hot Dog,火鸡热狗,火鸡热狗
Scrambled Eggs w/Bacon & Cheese,炒鸡蛋与培根,炒鸡蛋配培根
Pasta Salad with Grilled Vegetables,烤蔬菜意大利面沙拉（素）,烤蔬菜沙拉配意大利面
Chicken Salad Sandwich on 9 Grain,鸡肉沙拉三明治9粒,鸡肉沙拉谷物三明治
Ravioli w/ Meat Sauce,馄饨w /肉酱,意大利肉馅方饺
Falafel Sandwich ,法拉费尔三明治（素）,发拉斐尔三明治
Roast Beef & Swiss Panini,烤牛肉,瑞士烤牛肉帕尼尼
5 Layer Bars  ,5层酒吧（w /坚果）（素）,五层卷
Chicken Teriyaki Sushi Roll,鸡Teriyaki寿司卷,日式烤鸡寿司卷
Chicken Florentine,鸡肉佛罗伦萨,佛罗伦萨鸡
Lemon Herb Grilled Pork Chop,柠檬草药烤猪排,柠檬香草烤猪排
Grilled Swai,烤Swai,烤Swai鱼排
Eggplant Parmesan Casserole ,茄子帕尔马砂锅（素）,茄子帕尔马干酪炖菜
Beef Taquito,牛肉汤,墨西哥牛肉卷
Orange Chicken Stir Fry,橙鸡搅拌炒,炒香橙鸡
Banana Choc Chip Muffin ,香蕉巧克力松饼（素）,香蕉巧克力松饼
Omelets Made to Order,煎蛋卷订做,定制煎蛋卷
Fresh Whole Egg,新鲜的全蛋,新鲜全蛋
Grilled Swai,烤Swai,烤Swai鱼排
Eggplant Parmesan Casserole ,茄子帕尔马砂锅（素）,茄子帕尔马干酪炖菜
Beef Taquito,牛肉汤,墨西哥牛肉卷
Orange Chicken Stir Fry,橙鸡搅拌炒,炒香橙鸡
Banana Choc Chip Muffin ,香蕉巧克力松饼（素）,香蕉巧克力松饼
Omelets Made to Order,煎蛋卷订做,定制煎蛋卷
Fresh Whole Egg,新鲜的全蛋,新鲜全蛋
Frozen Egg Whites,冷冻蛋白,蛋白冻
Oven Roasted Turkey Breast,烤箱烤火鸡胸,烤火鸡胸肉
Cactus Salad ,仙人掌沙拉（素）,胭脂仙人掌沙拉
Cheese Enchilada Casserole ,芝士En ada砂锅（素）,墨西哥辣味奶酪肉馅炖菜
Carne Asada Soft Taco,Carne Asada Soft Taco,墨西哥烤肉卷饼
Chile Rellenos ,智利Rellenos（素）,墨西哥爆浆芝士辣椒
Roasted Delicata Squash ,烤熟的西葫芦（素）,烤西葫芦
Non-alcohol Cinco de Mayo Margarita,非酒精Cinco de Mayo玛格丽塔,（无酒精）五月五日玛格丽特
Jalapeno Cheddar Roll,Jalapeno切达干酪卷,墨西哥辣椒切达芝士卷
Churro,Churro,西班牙油条
Grilled Fish with Lemon Pepper,烤鱼与柠檬胡椒,胡椒柠檬汁烤鱼
Grilled Swai,烤Swai,烤Swai鱼排
Eggplant Parmesan Casserole ,茄子帕尔马砂锅（素）,茄子帕尔马干酪炖菜
Beef Taquito,牛肉汤,墨西哥牛肉卷
Orange Chicken Stir Fry,橙鸡搅拌炒,炒香橙鸡
Banana Choc Chip Muffin ,香蕉巧克力松饼（素）,香蕉巧克力松饼
Omelets Made to Order,煎蛋卷订做,定制煎蛋卷
Fresh Whole Egg,新鲜的全蛋,新鲜全蛋
Frozen Egg Whites,冷冻蛋白,蛋白冻
Oven Roasted Turkey Breast,烤箱烤火鸡胸,烤火鸡胸肉
Cactus Salad ,仙人掌沙拉（素）,胭脂仙人掌沙拉
Cheese Enchilada Casserole ,芝士En ada砂锅（素）,墨西哥辣味奶酪肉馅炖菜
Carne Asada Soft Taco,Carne Asada Soft Taco,墨西哥烤肉卷饼
Chile Rellenos ,智利Rellenos（素）,墨西哥爆浆芝士辣椒
Roasted Delicata Squash ,烤熟的西葫芦（素）,烤西葫芦
Non-alcohol Cinco de Mayo Margarita,非酒精Cinco de Mayo玛格丽塔,（无酒精）五月五日玛格丽特
Jalapeno Cheddar Roll,Jalapeno切达干酪卷,墨西哥辣椒切达芝士卷
Churro,Churro,西班牙油条
Grilled Fish with Lemon Pepper,烤鱼与柠檬胡椒,胡椒柠檬汁烤鱼
Beef Fajita,牛肉Fajita,墨西哥烤牛肉卷
Egg Roll ,蛋卷（素）,鸡蛋卷
Sweet Potato Halves ,红薯（素）,红薯
Creamy Pesto Sauce ,奶油酱油（素）,奶油香蒜酱
Caramel Flan ,焦糖酱（素）,焦糖布丁
Fresh Strawberry,新鲜草莓,新鲜草莓
Home Fried Potatos ,家炒锅（素）,家常炸土豆
Breakfast Burrito ,早餐卷饼（素）,早餐卷饼
Couscous w/Artichoke & Nuts  ,Couscous w /朝鲜蓟,北非米/朝鲜蓟&坚果
Fried Fish Sandwich,炸鱼三明治,炸鱼三明治
Focaccia w/Grilled Vegetables & Pesto,Focaccia w /烤蔬菜,香草橄榄油面包/烤蔬菜&香蒜酱
zSteamed Vegetables and Rice ,蔬菜和水稻（素）,蒸蔬菜和米饭
California Vegetable Medley ,加州蔬菜混合（素）,混合加州蔬菜
Coconut Curry Beef w/Yukon Potatoes/Rice,椰子咖喱牛肉/育空土豆/米饭,椰子咖喱牛肉/育空土豆/米饭
Jerk Chicken,猛鸡,烤鸡
Hot Ham And Swiss Cheese Sandwich,热火腿和瑞士奶酪三明治,热火腿和瑞士奶酪三明治
Challah Bread ,挑战面包（素）,哈拉面包
Canadian Tea Cookie  ,加拿大茶饼（素）（w /坚果）,加拿大茶饼
Thick Focaccia Bread ,厚Focaccia面包（素）,厚香草橄榄油面包
Couscous w/Artichoke Heart  ,Couscous w /朝鲜蓟心（w /坚果）（素）,北非米/朝鲜蓟心（坚果）
Jicama Pico de Gallo Salad ,Jicama Pico de Gallo沙拉（素）,豆薯碎番茄粒沙拉
Baked Cod,烤鳕鱼,烤鳕鱼
Tortellini w/Creamy Pesto Sauce ,Tortellini w / Creamy Pesto Sauce（素）,意式饺子/ 奶油香蒜酱
Steamed Veggies ,蒸蔬菜（素）,蒸蔬菜
Tres Leches Cake w/Strawberries,Tres Leches蛋糕w /草莓,三奶蛋糕/草莓
Spicy Meatball Sandwich,辣肉三明治,辣肉三明治
Banana Coffee Cake  ,香蕉咖啡蛋糕（w /坚果）（素）,香蕉咖啡蛋糕
Italian Bread Salad ,意大利面包沙拉（素）,意大利面包沙拉
Mushroom Pizza on Wheat ,小麦上的蘑菇披萨（素）,小麦蘑菇披萨
Chicken Philly Sandwich,鸡费城三明治,费城鸡肉三明治
Fried Ham,炸火腿,炸火腿
Strawberry Muffins ,草莓松饼（素）,草莓松饼
Spring Vegetable Paella ,春天蔬菜肉饭饭（素）,春季蔬菜肉菜饭
Potato Pancakes ,土豆煎饼（素）,土豆薄饼
Hot Spiced Applesauce ,热辣味苹果酱（素）,热辣苹果酱
French Crumb Apple Pie ,法式碎苹果派（素）,法式苹果派
Chocolate Chip Pancake ,巧克力薯片（素）,巧克力薄饼
zBroccoli Quiche ,zBroccoli Quiche（素）,西蓝花法式咸派
Zucchini Muffin  ,西葫芦松饼（w /坚果）（素）,西葫芦松饼
Pasta Caponata ,意大利面Caponata（素）,意大利面蔬菜料理
zSausage & Pepperoni French Bread Pizza,zSausage,香肠&意大利辣香肠法式面包披萨
Tomato Basil Pizza on White ,白色番茄罗勒披萨（素）,白色罗勒番茄披萨
Yellow Cake with Icing,带蛋糕的黄蛋糕,酥皮鸡蛋糕
Cabbage Soup ,白菜汤（素）,卷心菜汤
Carnitas Taco,Carnitas Taco,墨西哥肉丝卷饼
Mardi Gras Eggs with Ham,疯狂鸡蛋与火腿,狂欢节鸡蛋与火腿
Peach Chunk Pancakes ,桃花饼（素）,桃块薄饼
Orange Nut Muffins  ,橙螺母松饼（w /坚果）（素）,橙味坚果松饼
Applesauce Coffee Cake ,苹果咖啡蛋糕（素）,咖啡苹果酱蛋糕
Kale Caesar Salad ,甘蓝凯撒沙拉（素）,羽衣甘蓝凯撒沙拉
Spicy Sauce ,辣酱（素）,辣酱
Baked Rigatoni Mozzerella ,烘焙的Rigatoni Mozzerella（素）,马苏里拉芝士烤通心粉
Tomato Pesto Pizza on Wheat ,番茄酱小吃（素）,番茄香蒜酱小麦披萨
Italian Sub,意大利子,意大利夹料
Carmelized Onion & Sausage Pizza,卡米尔化洋葱,香洋葱&香肠披萨
Pancakes ,煎饼（素）,薄饼
Sausage Link,香肠链接,长串香肠
Pasta Salad w/Chicken & Sundried Tomato,意大利面沙拉/鸡,意大利面沙拉/鸡肉&番茄干
Chicken and Rice Tostada,鸡肉和米饭Tostada,鸡肉米饭玉米饼
Potato Vegetable Taco ,马铃薯蔬菜塔科（素）,土豆蔬菜卷饼
Turkey Marinara Sauce,火鸡马里纳拉酱,土耳其番茄大蒜酱
Wild Mushroom Rst Garlic Cream Sce ,野生蘑菇Rst大蒜霜Sce（素）,野生蘑菇奶油大蒜酱
Swirled Herb Bread ,漩涡草本面包（素）,香草面包
German Apple Cake  ,德国苹果蛋糕（w /坚果）（素）,德国苹果蛋糕
Wheat Berry ,小麦莓（素）,麦仁
Macaroni Salad ,通心粉沙拉（素）,通心粉沙拉
Chicken Fried Steak,鸡炸牛排,炸鸡式牛排
Tomato Vegetable Barley Soup ,番茄蔬菜大麦汤（素）,番茄蔬菜薏米汤
Cranberry Bar  ,蔓越莓酒吧（w /坚果）（素）,蔓越莓坚果棒
Roast Pork Loin with Spiced Apples,烤猪肉配五香苹果,调味苹果烤里脊肉
Beef Bourguignon with Noodles,牛肉Bourguignon与面条,红酒炖牛肉&面条
Oven Browned Potato ,烤箱褐色土豆（素）,烤褐色土豆
Grilled Turkey Swiss Tom Bacon Sandwich,烤火鸡瑞士汤姆培根三明治,烤瑞士培根三明治
Spicy Navy Bean Soup ,辣海军豆汤（素）,香辣菜豆汤
Chicken Chile Verde and Corn Tortillas,鸡肉智利和玉米饼,鸡肉辣豆酱和玉米饼
Festive Rice Salad w/Fruit  ,节日米饭沙拉w /水果（w /坚果）（素）,小豆米饭沙拉/水果（坚果）
Italian Tossed Greens ,意大利卷发绿党（素）,意大利蔬菜沙拉
Beef Chop Suey,牛肉酱苏,牛肉杂碎
Spicy Tofu w/Vegetables & Noodles ,辣豆腐w /蔬菜,辣豆腐/蔬菜&面条
Rigatoni Arabiata with Chicken ,鸡肉沙拉鸡尾酒（w /坚果）,鸡肉通心粉
Onion & Jalapeno Pizza ,洋葱,洋葱&墨西哥辣椒披萨
Pineapple Upside Down Cake ,菠萝颠倒蛋糕（素）,菠萝蛋糕
Butterscotch Bar ,奶油酒吧（w /坚果）（素）,奶油糖果坚果棒
Onion Soup ,洋葱汤（素）,洋葱汤
Tartar Sauce ,鞑靼酱（素）,塔塔酱
Ham & Cheese Pizza,火腿,火腿&奶酪披萨
Tofu Szechwan ,豆腐Szechwan（素）,麻婆豆腐
Rotisserie BBQ Chicken,烤肉烧烤鸡,烤鸡
Whole Wheat French Bread ,全麦面包（素）,法式全麦面包
Banana Wheat Pancakes ,香蕉小麦煎饼（素）,香蕉小麦薄饼
White Bean & Cherry Tomato Salad ,白豆,白豆&圣女果沙拉
Sweet & Spicy Eggplant w/ Peppers ,甜,鱼香茄子/甜椒
Panini Pizza ,帕尼尼披萨（素）,帕尼尼披萨
Graham Roll,格雷厄姆卷,格雷厄姆卷
Chocolate Almond Oat Bar  ,巧克力杏仁棒（w /坚果）（素）,巧克力杏仁燕麦棒
Peach Crisp ,桃酥（素）,桃酥
Mozzerella Cheese ,奶油芝士（素）,马苏里拉芝士
Tandoori Spiced Chicken,Tandoori五香鸡,印度烤鸡
Coconut Rice  ,椰子饭（w /坚果）（素）,椰汁米饭
